Geography,Value
Newfoundland and Labrador,3400.00
Prince Edward Island,7082.00
Nova Scotia,9328.00
New Brunswick,8284.00
Quebec,3359.00
Ontario,7920.00
Manitoba,5251.00
Saskatchewan,8854.00
Alberta,7221.00
British Columbia,6256.00
Yukon,4200.00
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Footnotes:,
1,
2,
3,
4,
5,
6,
7,
,
,
,
How to cite: Statistics Canada. Table 37-10-0003-01  Canadian undergraduate tuition fees by field of study (current dollars),
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3710000301,
